FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 19-20,Q2 FY 19-20,Sep-19,Save Microfinance Pvt Ltd,59.18,63.78,,,96.19%,14.87%,11.01%,,,24.05%,26679,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,45.54,0.00,54.46,,,,,,,,,,2.36%,0.64,0.01,0.25%,1.06%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Satya MicroCapital Ltd,794.61,849.62,,,86.21%,14.43%,8.68%,,,24.20%,31669,,,,,,1.08,14.00%,,274.52,0.35%,173.09,0.22%,107.67,0.14%,34.66,0.04%,,,,,,,,14.53,21.77,28.67,0.00,35.03,,,,,,,,,,13.13%,8.06,6.82,1.74%,13.53%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Share Microfin Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Shikhar Micrfinance Pvt Ltd,,,,,,,,,,,,,,,,,,,,17.41,0.34%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Sindhuja Microcredit Pvt Ltd,108.89,106.05,,,95.08%,15.61%,10.17%,,,25.15%,28764,,,,,,0.00,0.00%,,5.40,0.05%,2.84,0.03%,0.00,0.00%,0.00,0.00%,,,,,,,,2.96,0.00,97.04,0.00,0.00,,,,,,,,,,4.14%,0.49,0.19,0.28%,1.23%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Sonata Finance Pvt Ltd,1488.12,1539.53,,,95.70%,13.16%,5.80%,,,21.19%,33966,,,,,,24.93,1.68%,,3997.25,2.69%,3051.01,2.05%,2492.74,1.68%,1391.23,0.93%,,,,,,,,3.19,34.59,11.97,0.00,50.25,,,,,,,,,,5.57%,48.75,24.60,3.00%,19.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Spandana Sphoorty Financial Ltd,5432.66,5703.62,,,86.76%,13.02%,4.10%,,,21.58%,35051,,,,,,35.56,0.65%,,6653.57,1.22%,4691.32,0.86%,3578.50,0.66%,1487.46,0.27%,,,,,,,,3.00,70.73,13.46,0.00,12.81,,,,,,,,,,20.05%,214.89,45.74,3.34%,8.43%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,SV Creditline Pvt Ltd,666.52,550.02,,,85.46%,15.55%,5.13%,,,24.80%,30686,,,,,,0.00,2.48%,,3870.53,5.81%,2671.64,4.01%,1651.04,2.48%,446.98,0.67%,,,,,,,,0.00,23.39,68.71,0.00,7.90,,,,,,,,,,3.23%,3.47,3.25,1.10%,5.66%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Svamaan Financial Services Pvt Ltd,17.82,21.76,,,88.21%,12.46%,85.46%,,,23.00%,19871,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,2.11%,-2.22,-2.37,-15.56%,-18.45%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Svasti Microfinance Pvt Ltd,337.62,249.87,,,85.24%,14.75%,22.41%,,,23.79%,29211,,,,,,1.27,0.38%,,87.16,0.26%,74.17,0.22%,30.36,0.09%,126.68,0.38%,,,,,,,,0.00,6.37,22.58,0.00,71.06,,,,,,,,,,58.92%,30.85,5.31,4.13%,2.74%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Svatantra Microfin Pvt Ltd,1598.74,1656.42,,,93.28%,11.18%,9.11%,,,18.15%,33950,,,,,,22.33,1.57%,,2673.30,1.67%,2381.75,1.49%,2232.69,1.40%,1931.86,1.21%,,,,,,,,18.16,69.63,6.54,0.00,5.67,,,,,,,,,,0.00%,22.22,-45.33,1.52%,10.06%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Unacco Finance Pvt Ltd,124.19,142.55,,,95.35%,13.76%,6.86%,,,23.14%,29466,,,,,,0.00,1.49%,,82.27,0.66%,49.50,0.40%,34.00,0.27%,21.54,0.17%,,,,,,,,0.00,45.97,54.03,0.00,0.00,,,,,,,,,,1.35%,2.70,1.92,5.89%,26.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Unnati Microfin Pvt Ltd,70.11,60.00,,,87.40%,16.89%,46.70%,,,25.28%,33414,,,,,,1.08,1.56%,,5.35,0.08%,2.76,0.04%,13.67,0.20%,94.52,1.35%,,,,,,,,0.00,30.07,0.00,0.00,69.93,,,,,,,,,,4.66%,3.69,0.12,0.41%,4.03%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Vaya FinServ Pvt Ltd,1142.67,658.18,,,87.61%,13.79%,5.31%,,,22.67%,28729,,,,,,12.60,0.48%,,2875.68,2.52%,1868.59,1.64%,1259.57,1.10%,319.68,0.28%,,,,,,,,7.95,20.34,28.42,0.00,43.29,,,,,,,,,,38.88%,23.61,6.97,2.82%,17.46%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Village Financial Services Ltd,1019.87,920.35,,,94.49%,13.83%,5.45%,,,21.37%,33023,,,,,,5.38,0.80%,,718.83,0.70%,622.53,0.61%,537.89,0.53%,393.43,0.39%,,,,,,,,4.21,50.71,44.37,0.00,0.71,,,,,,,,,,19.87%,27.71,19.82,3.72%,28.35%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Adhikar Microfinance Private Limited,177.80,139.84,,,88.31%,14.96%,7.94%,,,24.50%,29500,,,,,,1.63,1.16%,,172.46,0.97%,141.10,0.79%,111.80,0.63%,54.82,0.31%,,,,,,,,2.18,36.20,59.43,2.19,0.00,,,,,,,,,,33.31%,2.45,0.93,0.85%,6.67%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Adi Chitragupta Finance Limited,68.17,74.97,,,99.74%,14.46%,9.80%,,,25.00%,30207,,,,,,1.50,2.00%,,1.55,0.02%,1.17,0.02%,1.17,0.02%,0.53,0.01%,,,,,,,,0.00,91.67,0.00,0.00,8.33,,,,,,,,,,0.88%,2.26,1.73,3.08%,19.97%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Agora Microfinance India Ltd,43.71,51.72,,,80.92%,0.00%,0.00%,,,0.00%,32098,,,,,,0.69,1.33%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,4.03,81.58,14.39,0.00,,,,,,,,,,0.04%,0.30,0.00,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Annapurna Finance Private Limited,3652.47,3894.68,,,86.12%,11.93%,7.26%,,,21.90%,37552,,,,,,50.19,1.57%,,7856.75,2.15%,5537.51,1.52%,5018.93,1.37%,4242.42,1.16%,,,,,,,,2.04,48.46,13.31,11.10,25.09,,,,,,,,,,15.45%,112.50,60.98,2.44%,12.95%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Arohan Financial Services Limited,4646.13,4650.15,,,88.70%,10.74%,5.11%,,,20.69%,30184,,,,,,40.03,0.86%,,14418.03,3.10%,6829.34,1.47%,4409.77,0.95%,2032.21,0.44%,,,,,,,,1.90,89.14,2.27,2.83,3.86,,,,,,,,,,10.50%,256.78,128.49,5.01%,20.72%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Arth Micro Finance Pvt Ltd,305.20,105.78,,,94.76%,15.96%,7.28%,,,22.89%,31421,,,,,,0.00,0.00%,,16.50,0.05%,10.87,0.04%,11.92,0.04%,0.00,0.00%,,,,,,,,0.00,31.82,68.18,0.00,0.00,,,,,,,,,,50.76%,3.38,2.33,2.41%,21.86%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,ASA International India Microfinance Limited,1305.37,1182.62,,,88.17%,13.35%,8.53%,,,23.25%,28615,,,,,,11.59,0.89%,,1766.55,1.35%,1338.91,1.03%,1158.97,0.89%,570.95,0.44%,,,,,,,,5.43,17.17,30.50,11.03,35.87,,,,,,,,,,18.43%,33.64,22.73,3.11%,18.15%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Asirvad Microfinance Limited,5022.14,3969.61,,,91.11%,11.60%,4.92%,,,21.70%,21487,,,,,,67.25,1.34%,,10316.67,2.05%,6995.92,1.39%,5624.60,1.12%,3168.30,0.63%,,,,,,,,14.78,54.12,8.72,0.00,22.38,,,,,,,,,,36.01%,305.56,175.01,5.30%,26.80%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Avanti Finance Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Aviral Finance Pvt Ltd,29.46,29.18,,,92.46%,16.63%,13.17%,,,25.15%,30426,,,,,,0.40,1.36%,,57.89,1.96%,48.30,1.64%,40.13,1.36%,22.06,0.75%,,,,,,,,0.00,0.00,62.31,0.00,37.69,,,,,,,,,,8.44%,0.05,0.00,0.01%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Belstar Investment and Finance Pvt Ltd,2137.74,24769.66,,,89.16%,11.06%,7.86%,,,20.39%,34593,,,,,,18.00,1.10%,,3269.74,1.53%,2805.61,1.31%,2532.01,1.18%,1738.98,0.81%,,,,,,,,0.00,83.49,5.49,0.00,11.02,,,,,,,,,,0.25%,342.63,76.92,4.54%,23.44%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,BWDA Financial Ltd,63.17,46.62,,,91.45%,15.31%,16.39%,,,22.44%,33345,,,,,,0.21,0.46%,,30.21,0.48%,28.52,0.45%,25.85,0.41%,25.17,0.40%,,,,,,,,0.00,36.12,63.88,0.00,0.00,,,,,,,,,,7.99%,7.18,1.61,4.57%,9.20%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Centrum MicroCredit Ltd,417.90,502.69,,,92.63%,14.50%,10.32%,,,23.50%,32244,,,,,,1.19,0.29%,,179.97,0.43%,141.89,0.34%,118.82,0.28%,86.61,0.21%,,,,,,,,4.72,11.80,51.98,0.00,31.50,,,,,,,,,,3.05%,1.57,-0.16,0.17%,1.19%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Chaitanya India Fin Credit Pvt Ltd,779.49,789.98,,,96.70%,14.00%,10.60%,,,25.60%,28878,,,,,,4.34,0.61%,,813.91,1.04%,583.25,0.75%,486.17,0.62%,212.30,0.27%,,,,,,,,0.00,37.35,22.58,0.00,40.07,,,,,,,,,,0.11%,14.51,4.85,1.00%,3.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,CreditAccess Grameen Ltd,8872.44,9333.44,,,91.42%,10.09%,4.86%,,,19.60%,20140,,,,,,46.14,0.56%,,14418.01,1.63%,7471.23,0.84%,5380.04,0.61%,1649.77,0.19%,,,,,,,,0.00,56.85,30.30,3.76,9.08,,,,,,,,,,7.36%,205.72,108.00,4.89%,16.54%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Fino Finance Pvt Ltd,451.76,359.45,,,85.72%,16.35%,9.34%,,,23.00%,42750,,,,,,9.35,2.60%,,2208.72,4.89%,1943.01,4.30%,779.42,1.73%,507.32,1.12%,,,,,,,,0.00,9.31,67.96,0.00,22.73,,,,,,,,,,0.29%,152.84,0.86,0.26%,1.29%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Fusion Microfinance Pvt Ltd,3343.01,4255.77,,,94.82%,12.46%,6.51%,,,22.15%,30401,,,,,,40.66,1.28%,,6452.35,1.93%,5235.92,1.57%,4528.29,1.35%,3093.77,0.93%,,,,,,,,3.67,68.62,8.08,0.00,19.63,,,,,,,,,,13.72%,1177.88,74.88,2.81%,14.13%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Growing Opportunity Finance India Pvt Ltd,245.28,293.78,,,85.00%,14.65%,6.25%,,,25.31%,43528,,,,,,5.88,2.00%,,9.89,0.04%,6.21,0.03%,5.23,0.02%,5.10,0.02%,,,,,,,,1.72,27.30,70.98,0.00,0.00,,,,,,,,,,0.00%,9.67,7.28,2.81%,18.59%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,G U Financial Services Pvt Ltd,121.64,98.71,,,88.44%,16.70%,5.90%,,,24.42%,33996,,,,,,0.96,0.79%,,135.12,1.11%,117.09,0.96%,95.86,0.79%,49.65,0.41%,,,,,,,,0.00,40.19,59.81,0.00,0.00,,,,,,,,,,2.33%,2.24,1.68,2.52%,17.76%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Hindusthan Microfinance Pvt Ltd,15.33,25.83,,,94.47%,14.21%,13.70%,,,24.93%,0,,,,,,0.02,0.08%,,11.48,0.75%,6.67,0.43%,2.14,0.14%,0.00,0.00%,,,,,,,,0.00,94.18,5.82,0.00,0.00,,,,,,,,,,0.00%,-1.17,-2.53,-9.79%,-22.97%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Inditrade Microfinance Ltd,258.87,233.17,,,,15.27%,7.81%,,,25.35%,28556,,,,,,1.82,0.78%,,288.00,1.11%,237.35,0.92%,199.77,0.77%,0.00,0.00%,,,,,,,,0.00,19.19,68.62,0.00,12.19,,,,,,,,,,2.42%,6.67,4.42,1.90%,11.86%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Jagaran Microfin Pvt Ltd,399.51,528.73,,,87.14%,15.72%,6.52%,,,24.75%,28395,,,,,,1.36,0.34%,,286.92,0.72%,226.58,0.57%,187.15,0.47%,106.37,0.27%,,,,,,,,5.00,22.20,53.18,0.00,19.61,,,,,,,,,,3.73%,17.04,11.73,2.22%,12.05%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Janakalyan financial services Pvt ltd,214.24,168.86,,,92.96%,15.06%,5.78%,,,24.90%,25820,,,,,,0.28,0.21%,,77.45,0.36%,39.93,0.19%,54.16,0.25%,28.03,0.13%,,,,,,,,12.92,17.26,69.82,0.00,0.00,,,,,,,,,,21.81%,7.31,5.15,3.36%,15.54%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Light Microfinance Pvt Ltd,420.06,369.10,,,85.49%,12.90%,8.85%,,,25.36%,38168,,,,,,2.66,0.72%,,348.09,0.83%,318.84,0.76%,293.35,0.70%,211.72,0.50%,,,,,,,,1.39,52.77,45.84,0.00,0.00,,,,,,,,,,3.67%,3.01,1.50,0.41%,3.60%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,M Power Micro Finance Pvt Ltd,253.59,174.47,,,84.44%,17.03%,10.27%,,,25.36%,34519,,,,,,3.42,1.96%,,492.44,1.94%,440.24,1.74%,395.83,1.56%,260.32,1.03%,,,,,,,,3.28,17.04,75.09,0.00,4.59,,,,,,,,,,4.99%,2.12,0.31,0.19%,1.57%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Madura Micro Finance Ltd,2162.16,2129.80,,,96.92%,11.41%,5.14%,,,21.40%,27877,,,,,,32.06,1.58%,,8459.42,3.91%,5438.40,2.52%,3622.49,1.68%,0.00,0.00%,,,,,,,,3.76,54.58,27.76,1.16,12.74,,,,,,,,,,5.37%,129.23,70.36,4.55%,26.34%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Margdarshak Financial Services Ltd,344.83,399.94,,,91.65%,15.78%,8.12%,,,25.36%,22447,,,,,,0.50,0.08%,,88.35,0.26%,50.05,0.15%,25.25,0.07%,0.43,0.00%,,,,,,,,5.50,40.60,45.65,2.14,6.11,,,,,,,,,,6.02%,5.55,3.67,1.12%,23.38%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Midland Microfin Ltd,683.93,916.39,,,94.32%,15.96%,8.84%,,,24.56%,30279,,,,,,3.51,0.54%,,420.86,0.62%,392.28,0.57%,362.21,0.53%,298.09,0.44%,,,,,,,,0.00,39.46,43.71,5.62,11.21,,,,,,,,,,20.74%,21.84,14.81,2.56%,17.78%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Mitrata Inclusive Financial Services Pvt Ltd,65.48,67.81,,,85.80%,14.52%,10.14%,,,25.36%,29113,,,,,,0.01,0.02%,,1.65,0.03%,1.44,0.02%,0.98,0.02%,0.00,0.00%,,,,,,,,0.00,7.33,91.40,0.00,1.27,,,,,,,,,,1.95%,0.25,0.15,0.24%,0.80%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,MSM Microfinance Pvt Ltd,51.66,47.59,,,85.38%,16.75%,8.32%,,,25.34%,24297,,,,,,1.07,2.25%,,133.09,2.58%,124.10,2.40%,119.13,2.31%,108.89,2.11%,,,,,,,,0.00,0.85,77.31,0.00,21.83,,,,,,,,,,4.96%,0.59,0.25,0.66%,2.31%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Muthoot Microfin Ltd,4849.01,4140.35,,,95.34%,11.71%,7.36%,,,21.60%,35166,,,,,,,7.41%,,24402.46,5.03%,20825.07,4.29%,19082.05,3.94%,9680.73,2.00%,,,,,,,,0.00,90.10,2.72,0.00,7.18,,,,,,,,,,3.98%,157.08,4.78,0.17%,0.72%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Namra Finance Ltd,588.79,689.28,,,98.56%,15.25%,8.00%,,,25.15%,29958,,,,,,5.29,0.90%,,971.49,1.65%,779.38,1.32%,529.34,0.90%,230.01,0.39%,,,,,,,,2.40,48.00,35.68,0.00,13.92,,,,,,,,,,1.92%,37.29,23.12,0.00%,24.16%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,NEED Livelihood Microfinance Pvt Ltd,44.78,37.00,,,91.16%,16.78%,13.39%,,,25.35%,30585,,,,,,0.44,1.05%,,64.03,1.43%,63.10,1.41%,59.33,1.32%,26.43,0.59%,,,,,,,,0.00,18.17,81.09,0.74,0.00,,,,,,,,,,5.55%,0.70,0.41,1.47%,3.94%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Nightingale Finvest Pvt Ltd,98.78,115.04,,,92.52%,0.00%,0.00%,,,24.00%,33247,,,,,,0.12,0.10%,,10.30,0.10%,2.33,0.02%,1.98,0.02%,0.75,0.01%,,,,,,,,4.48,46.25,49.27,0.00,0.00,,,,,,,,,,15.32%,25.97,2.12,1.84%,1.95%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Saija Finance Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Samasta Micro Finance Ltd,2972.93,2266.50,,,85.79%,12.76%,12.81%,,,22.76%,27067,,,,,,35.07,1.27%,,7190.58,2.42%,4420.63,1.49%,3462.17,1.16%,2151.53,0.72%,,,,,,,,0.00,42.03,21.41,0.00,36.56,,,,,,,,,,13.45%,151.90,97.44,7.12%,39.06%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Sambandh Finserv Pvt Ltd,408.22,420.46,,,93.46%,14.71%,7.62%,,,24.53%,29097,,,,,,1.89,0.45%,,335.07,0.82%,279.86,0.69%,258.35,0.63%,203.95,0.50%,,,,,,,,2.85,27.69,50.85,3.93,14.69,,,,,,,,,,3.79%,8.44,1.99,1.75%,13.39%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Sarala Development & Microfinance Pvt Ltd,243.63,239.69,,,95.12%,14.02%,3.52%,,,23.70%,25339,,,,,,3.45,1.44%,,463.30,1.90%,410.44,1.68%,351.37,1.44%,231.15,0.95%,,,,,,,,1.67,45.50,52.83,0.00,0.00,,,,,,,,,,2.93%,9.52,6.67,3.79%,22.63%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Satin Credit Care Network Ltd,6390.14,6644.39,,,97.43%,12.43%,6.36%,,,21.59%,33322,,,,,,200.86,3.14%,,32696.34,5.12%,24560.00,3.84%,20085.88,3.14%,16300.53,2.55%,,,,,,,,0.00,45.31,30.77,4.37,19.56,,,,,,,,,,21.30%,283.94,143.78,2.87%,14.99%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,SAVE Microfinance Pvt Ltd,80.72,80.55,,,95.80%,15.86%,9.81%,,,25.62%,25657,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,45.84,0.00,54.16,,,,,,,,,,2.51%,1.47,0.72,1.53%,6.11%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Satya MicroCapital Ltd,826.23,933.14,,,90.05%,15.44%,10.53%,,,24.34%,31939,,,,,,2.68,0.32%,,1047.53,1.27%,358.77,0.43%,267.51,0.32%,87.23,0.11%,,,,,,,,11.10,29.23,26.40,1.42,31.86,,,,,,,,,,9.84%,9.30,7.03,5.41%,5.49%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Share Microfin Ltd,768.03,840.97,,,100.00%,15.88%,13.93%,,,23.00%,27572,,,,,,12.96,1.69%,,1329.05,1.73%,1308.95,1.70%,1296.28,1.69%,1253.60,1.63%,,,,,,,,0.00,98.80,1.20,0.00,0.00,,,,,,,,,,7.89%,14.11,11.93,1.89%,8.52%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Shikhar Micrfinance Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Sindhuja Microcredit Pvt Ltd,129.32,123.76,,,95.36%,15.62%,10.03%,,,25.15%,30522,,,,,,0.05,0.04%,,14.61,0.11%,10.09,0.08%,7.50,0.06%,0.00,0.00%,,,,,,,,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,5.71%,1.27,0.98,3.37%,14.53%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Sonata Finance Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,Spandana Sphoorty Financial Ltd,5747.69,5674.52,,,85.72%,11.87%,3.95%,,,21.62%,35054,,,,,,15.94,0.34%,,4944.88,0.86%,2740.01,0.48%,1493.07,0.26%,690.96,0.12%,,,,,,,,2.73,78.34,10.23,0.00,8.70,,,,,,,,,,19.72%,214.80,126.12,8.89%,20.76%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q3 FY 19-20,Dec-19,SV Creditline Pvt Ltd,629.65,493.26,,,85.00%,15.65%,0.00%,,,24.43%,31092,,,,,,13.42,2.72%,,3844.06,6.11%,2725.45,4.33%,1711.44,2.72%,262.47,0.42%,,,,,,,,0.00,34.40,56.61,0.00,8.99,,,,,,,,,,3.45%,4.06,3.33,0.60%,4.14%,,,,,,,,,,,,,,,,,,,,,,,,
